[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] 
[2022-08-28 09:09:26.393] Swarm MPCIE (MPCIE) Bootloader
[2022-08-28 09:09:26.393] Copyright (c) 2019-22 Swarm Technologies, Inc
[2022-08-28 09:15:36.150] $RT RSSI=-113*1e
[2022-08-28 09:15:37.150] $RT RSSI=-112*1f
[2022-08-28 09:15:38.149] $RT RSSI=-113*1e
[2022-08-28 09:15:39.150] $RT RSSI=-113*1e
[2022-08-28 09:15:40.150] $RT RSSI=-113*1e
[2022-08-28 09:15:41.150] $RT RSSI=-113*1e
[2022-08-28 09:15:42.150] $RT RSSI=-112*1f
[2022-08-28 09:15:44.341] $RT RSSI=-113*1e
[2022-08-28 09:15:44.342] $MT D=U*15
[2022-08-28 09:15:44.342] $RT RSSI=-112*1f
[2022-08-28 09:15:45.038] $MT 10*38
[2022-08-28 09:15:45.149] $RT RSSI=-112*1f
[2022-08-28 09:15:46.150] $RT RSSI=-113*1e
[2022-08-28 09:15:47.150] $RT RSSI=-113*1e
[2022-08-28 09:15:48.150] $RT RSSI=-113*1e
[2022-08-28 09:15:49.150] $RT RSSI=-112*1f
[2022-08-28 09:15:50.150] $RT RSSI=-113*1e
[2022-08-28 09:15:51.150] $RT RSSI=-113*1e
[2022-08-28 09:15:52.149] $RT RSSI=-112*1f
[2022-08-28 09:15:53.149] $RT RSSI=-113*1e
[2022-08-28 09:15:54.150] $RT RSSI=-113*1e
[2022-08-28 09:15:55.150] $RT RSSI=-112*1f
[2022-08-28 09:15:56.149] $RT RSSI=-113*1e
[2022-08-28 09:15:57.150] $RT RSSI=-113*1e
[2022-08-28 09:15:58.150] $RT RSSI=-112*1f
[2022-08-28 09:15:59.149] $RT RSSI=-113*1e
[2022-08-28 09:16:00.150] $RT RSSI=-112*1f
[2022-08-28 09:16:01.150] $RT RSSI=-113*1e
[2022-08-28 09:16:02.150] $RT RSSI=-113*1e
[2022-08-28 09:16:03.150] $RT RSSI=-113*1e
[2022-08-28 09:16:04.151] $RT RSSI=-112*1f
[2022-08-28 09:16:05.150] $RT RSSI=-112*1f
[2022-08-28 09:16:06.149] $RT RSSI=-113*1e
[2022-08-28 09:16:07.149] $RT RSSI=-113*1e
[2022-08-28 09:16:08.149] $RT RSSI=-113*1e
[2022-08-28 09:16:10.361] $RT RSSI=-113*1e
[2022-08-28 09:16:10.362] $MT C=U*12
[2022-08-28 09:16:10.362] $RT RSSI=-113*1e
[2022-08-28 09:16:10.938] $MT 0*09
[2022-08-28 09:16:11.149] $RT RSSI=-112*1f
[2022-08-28 09:16:12.150] $RT RSSI=-113*1e
[2022-08-28 09:16:13.149] $RT RSSI=-113*1e
[2022-08-28 09:16:14.149] $RT RSSI=-113*1e
[2022-08-28 09:16:15.149] $RT RSSI=-113*1e
[2022-08-28 09:16:16.149] $RT RSSI=-112*1f
[2022-08-28 09:16:17.150] $RT RSSI=-113*1e
[2022-08-28 09:16:18.149] $RT RSSI=-112*1f
[2022-08-28 09:16:19.149] $RT RSSI=-112*1f
[2022-08-28 09:16:20.149] $RT RSSI=-113*1e
[2022-08-28 09:16:21.150] $RT RSSI=-112*1f
[2022-08-28 09:16:22.149] $RT RSSI=-113*1e
[2022-08-28 09:16:23.149] $RT RSSI=-112*1f
[2022-08-28 09:16:24.149] $RT RSSI=-112*1f
[2022-08-28 09:16:25.150] $RT RSSI=-112*1f
[2022-08-28 09:16:26.149] $RT RSSI=-112*1f
[2022-08-28 09:16:27.149] $RT RSSI=-113*1e
[2022-08-28 09:16:28.149] $RT RSSI=-113*1e
[2022-08-28 09:16:29.150] $RT RSSI=-112*1f
[2022-08-28 09:16:30.149] $RT RSSI=-112*1f
[2022-08-28 09:16:31.149] $RT RSSI=-113*1e
[2022-08-28 09:16:32.149] $RT RSSI=-112*1f
[2022-08-28 09:16:33.149] $RT RSSI=-113*1e
